id,author,quote_en,quote_ko,source,meaning,category,tags,slug
26,,,"이 순간의 조용한 결심이 길을 연다, 곧 좋은 흐름으로 이어진다.",original_fortune_text,,오늘의운세,오늘의명언;운세,fortune-26
27,,,"조용한 노력의 꾸준한 행동이 길을 연다, 곧 좋은 흐름으로 이어진다.",original_fortune_text,,동기부여,오늘의명언;운세,fortune-27
28,,,"작은 용기의 작은 변화이 변화를 만든다, 곧 좋은 흐름으로 이어진다.",original_fortune_text,,도전,오늘의명언;운세,fortune-28
29,,,"한 걸음의 한 번의 선택이 성장을 만든다, 생각보다 큰 결과로 이어진다.",original_fortune_text,,성장,오늘의명언;운세,fortune-29
30,,,"조용한 노력의 작은 변화이 가능성을 키운다, 천천히 빛을 보기 시작한다.",original_fortune_text,,동기부여,오늘의명언;운세,fortune-30
31,,,"이 순간의 작은 변화이 성장을 만든다, 곧 좋은 흐름으로 이어진다.",original_fortune_text,,오늘의운세,오늘의명언;운세,fortune-31
32,,,"조용한 노력의 조용한 결심이 기회를 부른다, 조금씩 앞으로 나아간다.",original_fortune_text,,인생,오늘의명언;운세,fortune-32
33,,,"조용한 노력의 꾸준한 행동이 가능성을 키운다, 천천히 빛을 보기 시작한다.",original_fortune_text,,성장,오늘의명언;운세,fortune-33
34,,,"이 순간의 작은 변화이 기회를 부른다, 천천히 빛을 보기 시작한다.",original_fortune_text,,동기부여,오늘의명언;운세,fortune-34
35,,,"작은 용기의 조용한 결심이 길을 연다, 천천히 빛을 보기 시작한다.",original_fortune_text,,오늘의운세,오늘의명언;운세,fortune-35
36,,,"오늘의 한 번의 선택이 기회를 부른다, 조금씩 앞으로 나아간다.",original_fortune_text,,성장,오늘의명언;운세,fortune-36
37,,,"당신의 선택의 한 번의 선택이 기회를 부른다, 천천히 빛을 보기 시작한다.",original_fortune_text,,인생,오늘의명언;운세,fortune-37
38,,,"이 순간의 꾸준한 행동이 기회를 부른다, 생각보다 큰 결과로 이어진다.",original_fortune_text,,오늘의운세,오늘의명언;운세,fortune-38
39,,,"당신의 하루의 조용한 결심이 기회를 부른다, 생각보다 큰 결과로 이어진다.",original_fortune_text,,도전,오늘의명언;운세,fortune-39
40,,,"오늘의 작은 변화이 성장을 만든다, 천천히 빛을 보기 시작한다.",original_fortune_text,,동기부여,오늘의명언;운세,fortune-40
41,,,"지금의 꾸준한 행동이 길을 연다, 곧 좋은 흐름으로 이어진다.",original_fortune_text,,오늘의운세,오늘의명언;운세,fortune-41
42,,,"작은 용기의 한 번의 선택이 성장을 만든다, 천천히 빛을 보기 시작한다.",original_fortune_text,,인생,오늘의명언;운세,fortune-42
43,,,"한 걸음의 작은 변화이 변화를 만든다, 조금씩 앞으로 나아간다.",original_fortune_text,,성장,오늘의명언;운세,fortune-43
44,,,"이 순간의 작은 변화이 미래를 바꾼다, 곧 좋은 흐름으로 이어진다.",original_fortune_text,,인생,오늘의명언;운세,fortune-44
45,,,"당신의 하루의 꾸준한 행동이 가능성을 키운다, 생각보다 큰 결과로 이어진다.",original_fortune_text,,인생,오늘의명언;운세,fortune-45
46,,,"오늘의 꾸준한 행동이 미래를 바꾼다, 곧 좋은 흐름으로 이어진다.",original_fortune_text,,오늘의운세,오늘의명언;운세,fortune-46
47,,,"작은 용기의 한 번의 선택이 미래를 바꾼다, 천천히 빛을 보기 시작한다.",original_fortune_text,,인생,오늘의명언;운세,fortune-47
48,,,"당신의 선택의 꾸준한 행동이 길을 연다, 천천히 빛을 보기 시작한다.",original_fortune_text,,오늘의운세,오늘의명언;운세,fortune-48
49,,,"지금의 한 번의 선택이 기회를 부른다, 천천히 빛을 보기 시작한다.",original_fortune_text,,오늘의운세,오늘의명언;운세,fortune-49
50,,,"오늘의 꾸준한 행동이 변화를 만든다, 천천히 빛을 보기 시작한다.",original_fortune_text,,도전,오늘의명언;운세,fortune-50
51,,,"오늘의 꾸준한 행동이 변화를 만든다, 조금씩 앞으로 나아간다.",original_fortune_text,,동기부여,오늘의명언;운세,fortune-51
52,,,"당신의 하루의 작은 변화이 길을 연다, 생각보다 큰 결과로 이어진다.",original_fortune_text,,인생,오늘의명언;운세,fortune-52
53,,,"오늘의 조용한 결심이 길을 연다, 생각보다 큰 결과로 이어진다.",original_fortune_text,,인생,오늘의명언;운세,fortune-53
54,,,"당신의 선택의 작은 변화이 기회를 부른다, 생각보다 큰 결과로 이어진다.",original_fortune_text,,도전,오늘의명언;운세,fortune-54
55,,,"이 순간의 한 번의 선택이 변화를 만든다, 곧 좋은 흐름으로 이어진다.",original_fortune_text,,성장,오늘의명언;운세,fortune-55
56,,,"당신의 선택의 꾸준한 행동이 변화를 만든다, 생각보다 큰 결과로 이어진다.",original_fortune_text,,오늘의운세,오늘의명언;운세,fortune-56
57,,,"지금의 작은 변화이 길을 연다, 곧 좋은 흐름으로 이어진다.",original_fortune_text,,성장,오늘의명언;운세,fortune-57
58,,,"오늘의 꾸준한 행동이 변화를 만든다, 조금씩 앞으로 나아간다.",original_fortune_text,,오늘의운세,오늘의명언;운세,fortune-58
59,,,"작은 용기의 꾸준한 행동이 길을 연다, 곧 좋은 흐름으로 이어진다.",original_fortune_text,,도전,오늘의명언;운세,fortune-59
60,,,"이 순간의 작은 변화이 가능성을 키운다, 생각보다 큰 결과로 이어진다.",original_fortune_text,,오늘의운세,오늘의명언;운세,fortune-60
61,,,"조용한 노력의 한 번의 선택이 기회를 부른다, 천천히 빛을 보기 시작한다.",original_fortune_text,,성장,오늘의명언;운세,fortune-61
62,,,"오늘의 꾸준한 행동이 기회를 부른다, 조금씩 앞으로 나아간다.",original_fortune_text,,동기부여,오늘의명언;운세,fortune-62
63,,,"당신의 선택의 조용한 결심이 기회를 부른다, 천천히 빛을 보기 시작한다.",original_fortune_text,,인생,오늘의명언;운세,fortune-63
64,,,"당신의 선택의 작은 변화이 길을 연다, 천천히 빛을 보기 시작한다.",original_fortune_text,,동기부여,오늘의명언;운세,fortune-64
65,,,"당신의 선택의 조용한 결심이 기회를 부른다, 곧 좋은 흐름으로 이어진다.",original_fortune_text,,동기부여,오늘의명언;운세,fortune-65
66,,,"당신의 하루의 한 번의 선택이 미래를 바꾼다, 생각보다 큰 결과로 이어진다.",original_fortune_text,,동기부여,오늘의명언;운세,fortune-66
67,,,"이 순간의 한 번의 선택이 길을 연다, 생각보다 큰 결과로 이어진다.",original_fortune_text,,도전,오늘의명언;운세,fortune-67
68,,,"오늘의 한 번의 선택이 가능성을 키운다, 곧 좋은 흐름으로 이어진다.",original_fortune_text,,인생,오늘의명언;운세,fortune-68
69,,,"한 걸음의 꾸준한 행동이 변화를 만든다, 천천히 빛을 보기 시작한다.",original_fortune_text,,성장,오늘의명언;운세,fortune-69
70,,,"당신의 선택의 꾸준한 행동이 기회를 부른다, 천천히 빛을 보기 시작한다.",original_fortune_text,,오늘의운세,오늘의명언;운세,fortune-70
71,,,"지금의 한 번의 선택이 가능성을 키운다, 조금씩 앞으로 나아간다.",original_fortune_text,,도전,오늘의명언;운세,fortune-71
72,,,"당신의 선택의 조용한 결심이 성장을 만든다, 생각보다 큰 결과로 이어진다.",original_fortune_text,,도전,오늘의명언;운세,fortune-72
73,,,"조용한 노력의 꾸준한 행동이 길을 연다, 생각보다 큰 결과로 이어진다.",original_fortune_text,,성장,오늘의명언;운세,fortune-73
74,,,"오늘의 작은 변화이 기회를 부른다, 생각보다 큰 결과로 이어진다.",original_fortune_text,,인생,오늘의명언;운세,fortune-74
75,,,"오늘의 한 번의 선택이 가능성을 키운다, 천천히 빛을 보기 시작한다.",original_fortune_text,,도전,오늘의명언;운세,fortune-75
76,,,"당신의 선택의 작은 변화이 성장을 만든다, 생각보다 큰 결과로 이어진다.",original_fortune_text,,인생,오늘의명언;운세,fortune-76
77,,,"오늘의 작은 변화이 성장을 만든다, 곧 좋은 흐름으로 이어진다.",original_fortune_text,,오늘의운세,오늘의명언;운세,fortune-77
78,,,"지금의 조용한 결심이 기회를 부른다, 곧 좋은 흐름으로 이어진다.",original_fortune_text,,성장,오늘의명언;운세,fortune-78
79,,,"당신의 선택의 꾸준한 행동이 기회를 부른다, 조금씩 앞으로 나아간다.",original_fortune_text,,성장,오늘의명언;운세,fortune-79
80,,,"당신의 선택의 꾸준한 행동이 미래를 바꾼다, 곧 좋은 흐름으로 이어진다.",original_fortune_text,,동기부여,오늘의명언;운세,fortune-80
81,,,"지금의 조용한 결심이 길을 연다, 조금씩 앞으로 나아간다.",original_fortune_text,,오늘의운세,오늘의명언;운세,fortune-81
82,,,"당신의 선택의 조용한 결심이 가능성을 키운다, 조금씩 앞으로 나아간다.",original_fortune_text,,인생,오늘의명언;운세,fortune-82
83,,,"이 순간의 작은 변화이 길을 연다, 조금씩 앞으로 나아간다.",original_fortune_text,,인생,오늘의명언;운세,fortune-83
84,,,"조용한 노력의 꾸준한 행동이 성장을 만든다, 천천히 빛을 보기 시작한다.",original_fortune_text,,도전,오늘의명언;운세,fortune-84
85,,,"당신의 하루의 조용한 결심이 미래를 바꾼다, 곧 좋은 흐름으로 이어진다.",original_fortune_text,,성장,오늘의명언;운세,fortune-85
86,,,"오늘의 작은 변화이 길을 연다, 조금씩 앞으로 나아간다.",original_fortune_text,,동기부여,오늘의명언;운세,fortune-86
87,,,"한 걸음의 조용한 결심이 변화를 만든다, 생각보다 큰 결과로 이어진다.",original_fortune_text,,오늘의운세,오늘의명언;운세,fortune-87
88,,,"당신의 선택의 한 번의 선택이 미래를 바꾼다, 조금씩 앞으로 나아간다.",original_fortune_text,,도전,오늘의명언;운세,fortune-88
89,,,"지금의 한 번의 선택이 성장을 만든다, 조금씩 앞으로 나아간다.",original_fortune_text,,인생,오늘의명언;운세,fortune-89
90,,,"지금의 조용한 결심이 가능성을 키운다, 곧 좋은 흐름으로 이어진다.",original_fortune_text,,동기부여,오늘의명언;운세,fortune-90
91,,,"오늘의 작은 변화이 길을 연다, 곧 좋은 흐름으로 이어진다.",original_fortune_text,,성장,오늘의명언;운세,fortune-91
92,,,"한 걸음의 작은 변화이 미래를 바꾼다, 생각보다 큰 결과로 이어진다.",original_fortune_text,,성장,오늘의명언;운세,fortune-92
93,,,"한 걸음의 조용한 결심이 미래를 바꾼다, 천천히 빛을 보기 시작한다.",original_fortune_text,,동기부여,오늘의명언;운세,fortune-93
94,,,"당신의 선택의 작은 변화이 성장을 만든다, 곧 좋은 흐름으로 이어진다.",original_fortune_text,,성장,오늘의명언;운세,fortune-94
95,,,"오늘의 한 번의 선택이 미래를 바꾼다, 생각보다 큰 결과로 이어진다.",original_fortune_text,,인생,오늘의명언;운세,fortune-95
96,,,"한 걸음의 조용한 결심이 길을 연다, 곧 좋은 흐름으로 이어진다.",original_fortune_text,,성장,오늘의명언;운세,fortune-96
97,,,"한 걸음의 꾸준한 행동이 기회를 부른다, 곧 좋은 흐름으로 이어진다.",original_fortune_text,,성장,오늘의명언;운세,fortune-97
98,,,"한 걸음의 꾸준한 행동이 미래를 바꾼다, 생각보다 큰 결과로 이어진다.",original_fortune_text,,성장,오늘의명언;운세,fortune-98
99,,,"오늘의 한 번의 선택이 변화를 만든다, 곧 좋은 흐름으로 이어진다.",original_fortune_text,,인생,오늘의명언;운세,fortune-99
100,,,"오늘의 작은 변화이 기회를 부른다, 천천히 빛을 보기 시작한다.",original_fortune_text,,오늘의운세,오늘의명언;운세,fortune-100
101,,,"당신의 선택의 한 번의 선택이 미래를 바꾼다, 생각보다 큰 결과로 이어진다.",original_fortune_text,,성장,오늘의명언;운세,fortune-101
102,,,"작은 용기의 꾸준한 행동이 성장을 만든다, 조금씩 앞으로 나아간다.",original_fortune_text,,성장,오늘의명언;운세,fortune-102
103,,,"지금의 조용한 결심이 가능성을 키운다, 곧 좋은 흐름으로 이어진다.",original_fortune_text,,동기부여,오늘의명언;운세,fortune-103
104,,,"당신의 선택의 꾸준한 행동이 길을 연다, 조금씩 앞으로 나아간다.",original_fortune_text,,오늘의운세,오늘의명언;운세,fortune-104
105,,,"당신의 하루의 조용한 결심이 가능성을 키운다, 조금씩 앞으로 나아간다.",original_fortune_text,,동기부여,오늘의명언;운세,fortune-105
106,,,"지금의 조용한 결심이 기회를 부른다, 곧 좋은 흐름으로 이어진다.",original_fortune_text,,오늘의운세,오늘의명언;운세,fortune-106
107,,,"당신의 하루의 한 번의 선택이 미래를 바꾼다, 생각보다 큰 결과로 이어진다.",original_fortune_text,,도전,오늘의명언;운세,fortune-107
108,,,"작은 용기의 조용한 결심이 길을 연다, 조금씩 앞으로 나아간다.",original_fortune_text,,도전,오늘의명언;운세,fortune-108
109,,,"이 순간의 작은 변화이 길을 연다, 조금씩 앞으로 나아간다.",original_fortune_text,,도전,오늘의명언;운세,fortune-109
110,,,"당신의 선택의 조용한 결심이 가능성을 키운다, 생각보다 큰 결과로 이어진다.",original_fortune_text,,인생,오늘의명언;운세,fortune-110
111,,,"작은 용기의 조용한 결심이 성장을 만든다, 생각보다 큰 결과로 이어진다.",original_fortune_text,,성장,오늘의명언;운세,fortune-111
112,,,"당신의 선택의 꾸준한 행동이 기회를 부른다, 조금씩 앞으로 나아간다.",original_fortune_text,,도전,오늘의명언;운세,fortune-112
113,,,"오늘의 꾸준한 행동이 길을 연다, 곧 좋은 흐름으로 이어진다.",original_fortune_text,,인생,오늘의명언;운세,fortune-113
114,,,"작은 용기의 꾸준한 행동이 가능성을 키운다, 곧 좋은 흐름으로 이어진다.",original_fortune_text,,오늘의운세,오늘의명언;운세,fortune-114
115,,,"오늘의 작은 변화이 기회를 부른다, 생각보다 큰 결과로 이어진다.",original_fortune_text,,오늘의운세,오늘의명언;운세,fortune-115
116,,,"조용한 노력의 한 번의 선택이 길을 연다, 조금씩 앞으로 나아간다.",original_fortune_text,,성장,오늘의명언;운세,fortune-116
117,,,"이 순간의 꾸준한 행동이 성장을 만든다, 조금씩 앞으로 나아간다.",original_fortune_text,,성장,오늘의명언;운세,fortune-117
118,,,"오늘의 작은 변화이 변화를 만든다, 곧 좋은 흐름으로 이어진다.",original_fortune_text,,오늘의운세,오늘의명언;운세,fortune-118
119,,,"이 순간의 한 번의 선택이 미래를 바꾼다, 곧 좋은 흐름으로 이어진다.",original_fortune_text,,오늘의운세,오늘의명언;운세,fortune-119
120,,,"지금의 작은 변화이 기회를 부른다, 생각보다 큰 결과로 이어진다.",original_fortune_text,,오늘의운세,오늘의명언;운세,fortune-120
121,,,"지금의 꾸준한 행동이 가능성을 키운다, 곧 좋은 흐름으로 이어진다.",original_fortune_text,,오늘의운세,오늘의명언;운세,fortune-121
122,,,"당신의 선택의 조용한 결심이 성장을 만든다, 천천히 빛을 보기 시작한다.",original_fortune_text,,인생,오늘의명언;운세,fortune-122
123,,,"당신의 하루의 한 번의 선택이 성장을 만든다, 곧 좋은 흐름으로 이어진다.",original_fortune_text,,오늘의운세,오늘의명언;운세,fortune-123
124,,,"지금의 한 번의 선택이 길을 연다, 천천히 빛을 보기 시작한다.",original_fortune_text,,성장,오늘의명언;운세,fortune-124
125,,,"당신의 선택의 조용한 결심이 기회를 부른다, 생각보다 큰 결과로 이어진다.",original_fortune_text,,오늘의운세,오늘의명언;운세,fortune-125
126,,,"조용한 노력의 작은 변화이 기회를 부른다, 생각보다 큰 결과로 이어진다.",original_fortune_text,,오늘의운세,오늘의명언;운세,fortune-126
127,,,"오늘의 조용한 결심이 길을 연다, 곧 좋은 흐름으로 이어진다.",original_fortune_text,,오늘의운세,오늘의명언;운세,fortune-127
128,,,"지금의 꾸준한 행동이 가능성을 키운다, 곧 좋은 흐름으로 이어진다.",original_fortune_text,,인생,오늘의명언;운세,fortune-128
129,,,"지금의 작은 변화이 미래를 바꾼다, 생각보다 큰 결과로 이어진다.",original_fortune_text,,성장,오늘의명언;운세,fortune-129
130,,,"이 순간의 작은 변화이 가능성을 키운다, 조금씩 앞으로 나아간다.",original_fortune_text,,오늘의운세,오늘의명언;운세,fortune-130
131,,,"오늘의 조용한 결심이 가능성을 키운다, 생각보다 큰 결과로 이어진다.",original_fortune_text,,오늘의운세,오늘의명언;운세,fortune-131
132,,,"오늘의 꾸준한 행동이 변화를 만든다, 생각보다 큰 결과로 이어진다.",original_fortune_text,,도전,오늘의명언;운세,fortune-132
133,,,"당신의 선택의 작은 변화이 미래를 바꾼다, 조금씩 앞으로 나아간다.",original_fortune_text,,도전,오늘의명언;운세,fortune-133
134,,,"당신의 하루의 한 번의 선택이 가능성을 키운다, 천천히 빛을 보기 시작한다.",original_fortune_text,,오늘의운세,오늘의명언;운세,fortune-134
135,,,"오늘의 한 번의 선택이 성장을 만든다, 생각보다 큰 결과로 이어진다.",original_fortune_text,,동기부여,오늘의명언;운세,fortune-135
136,,,"한 걸음의 한 번의 선택이 길을 연다, 천천히 빛을 보기 시작한다.",original_fortune_text,,인생,오늘의명언;운세,fortune-136
137,,,"조용한 노력의 한 번의 선택이 가능성을 키운다, 천천히 빛을 보기 시작한다.",original_fortune_text,,성장,오늘의명언;운세,fortune-137
138,,,"작은 용기의 작은 변화이 미래를 바꾼다, 조금씩 앞으로 나아간다.",original_fortune_text,,동기부여,오늘의명언;운세,fortune-138
139,,,"당신의 선택의 한 번의 선택이 길을 연다, 생각보다 큰 결과로 이어진다.",original_fortune_text,,동기부여,오늘의명언;운세,fortune-139
140,,,"당신의 선택의 꾸준한 행동이 미래를 바꾼다, 조금씩 앞으로 나아간다.",original_fortune_text,,도전,오늘의명언;운세,fortune-140
141,,,"당신의 하루의 꾸준한 행동이 변화를 만든다, 생각보다 큰 결과로 이어진다.",original_fortune_text,,성장,오늘의명언;운세,fortune-141
142,,,"당신의 하루의 작은 변화이 성장을 만든다, 조금씩 앞으로 나아간다.",original_fortune_text,,동기부여,오늘의명언;운세,fortune-142
143,,,"당신의 선택의 조용한 결심이 성장을 만든다, 곧 좋은 흐름으로 이어진다.",original_fortune_text,,도전,오늘의명언;운세,fortune-143
144,,,"작은 용기의 작은 변화이 성장을 만든다, 곧 좋은 흐름으로 이어진다.",original_fortune_text,,도전,오늘의명언;운세,fortune-144
145,,,"지금의 작은 변화이 가능성을 키운다, 조금씩 앞으로 나아간다.",original_fortune_text,,도전,오늘의명언;운세,fortune-145
146,,,"조용한 노력의 한 번의 선택이 미래를 바꾼다, 천천히 빛을 보기 시작한다.",original_fortune_text,,도전,오늘의명언;운세,fortune-146
147,,,"오늘의 꾸준한 행동이 길을 연다, 곧 좋은 흐름으로 이어진다.",original_fortune_text,,성장,오늘의명언;운세,fortune-147
148,,,"지금의 꾸준한 행동이 길을 연다, 곧 좋은 흐름으로 이어진다.",original_fortune_text,,오늘의운세,오늘의명언;운세,fortune-148
149,,,"이 순간의 꾸준한 행동이 성장을 만든다, 천천히 빛을 보기 시작한다.",original_fortune_text,,동기부여,오늘의명언;운세,fortune-149
150,,,"오늘의 조용한 결심이 길을 연다, 생각보다 큰 결과로 이어진다.",original_fortune_text,,오늘의운세,오늘의명언;운세,fortune-150
151,,,"오늘의 한 번의 선택이 가능성을 키운다, 곧 좋은 흐름으로 이어진다.",original_fortune_text,,오늘의운세,오늘의명언;운세,fortune-151
152,,,"작은 용기의 꾸준한 행동이 기회를 부른다, 곧 좋은 흐름으로 이어진다.",original_fortune_text,,인생,오늘의명언;운세,fortune-152
153,,,"조용한 노력의 작은 변화이 기회를 부른다, 곧 좋은 흐름으로 이어진다.",original_fortune_text,,도전,오늘의명언;운세,fortune-153
154,,,"한 걸음의 조용한 결심이 성장을 만든다, 생각보다 큰 결과로 이어진다.",original_fortune_text,,오늘의운세,오늘의명언;운세,fortune-154
155,,,"당신의 선택의 한 번의 선택이 성장을 만든다, 천천히 빛을 보기 시작한다.",original_fortune_text,,도전,오늘의명언;운세,fortune-155
156,,,"이 순간의 조용한 결심이 길을 연다, 천천히 빛을 보기 시작한다.",original_fortune_text,,오늘의운세,오늘의명언;운세,fortune-156
157,,,"조용한 노력의 한 번의 선택이 변화를 만든다, 곧 좋은 흐름으로 이어진다.",original_fortune_text,,인생,오늘의명언;운세,fortune-157
158,,,"한 걸음의 한 번의 선택이 변화를 만든다, 조금씩 앞으로 나아간다.",original_fortune_text,,동기부여,오늘의명언;운세,fortune-158
159,,,"당신의 선택의 작은 변화이 기회를 부른다, 곧 좋은 흐름으로 이어진다.",original_fortune_text,,동기부여,오늘의명언;운세,fortune-159
160,,,"당신의 선택의 조용한 결심이 기회를 부른다, 천천히 빛을 보기 시작한다.",original_fortune_text,,성장,오늘의명언;운세,fortune-160
161,,,"한 걸음의 꾸준한 행동이 가능성을 키운다, 천천히 빛을 보기 시작한다.",original_fortune_text,,성장,오늘의명언;운세,fortune-161
162,,,"작은 용기의 한 번의 선택이 길을 연다, 생각보다 큰 결과로 이어진다.",original_fortune_text,,인생,오늘의명언;운세,fortune-162
163,,,"지금의 한 번의 선택이 길을 연다, 천천히 빛을 보기 시작한다.",original_fortune_text,,오늘의운세,오늘의명언;운세,fortune-163
164,,,"오늘의 꾸준한 행동이 기회를 부른다, 천천히 빛을 보기 시작한다.",original_fortune_text,,동기부여,오늘의명언;운세,fortune-164
165,,,"한 걸음의 한 번의 선택이 미래를 바꾼다, 조금씩 앞으로 나아간다.",original_fortune_text,,도전,오늘의명언;운세,fortune-165
166,,,"이 순간의 꾸준한 행동이 기회를 부른다, 천천히 빛을 보기 시작한다.",original_fortune_text,,동기부여,오늘의명언;운세,fortune-166
167,,,"한 걸음의 꾸준한 행동이 변화를 만든다, 조금씩 앞으로 나아간다.",original_fortune_text,,동기부여,오늘의명언;운세,fortune-167
168,,,"이 순간의 작은 변화이 길을 연다, 천천히 빛을 보기 시작한다.",original_fortune_text,,동기부여,오늘의명언;운세,fortune-168
169,,,"당신의 하루의 한 번의 선택이 길을 연다, 생각보다 큰 결과로 이어진다.",original_fortune_text,,인생,오늘의명언;운세,fortune-169
170,,,"오늘의 꾸준한 행동이 미래를 바꾼다, 곧 좋은 흐름으로 이어진다.",original_fortune_text,,성장,오늘의명언;운세,fortune-170
171,,,"지금의 한 번의 선택이 기회를 부른다, 생각보다 큰 결과로 이어진다.",original_fortune_text,,동기부여,오늘의명언;운세,fortune-171
172,,,"이 순간의 조용한 결심이 기회를 부른다, 천천히 빛을 보기 시작한다.",original_fortune_text,,오늘의운세,오늘의명언;운세,fortune-172
173,,,"오늘의 작은 변화이 변화를 만든다, 생각보다 큰 결과로 이어진다.",original_fortune_text,,도전,오늘의명언;운세,fortune-173
174,,,"한 걸음의 꾸준한 행동이 변화를 만든다, 천천히 빛을 보기 시작한다.",original_fortune_text,,도전,오늘의명언;운세,fortune-174
175,,,"당신의 선택의 꾸준한 행동이 성장을 만든다, 곧 좋은 흐름으로 이어진다.",original_fortune_text,,도전,오늘의명언;운세,fortune-175
176,,,"지금의 작은 변화이 성장을 만든다, 곧 좋은 흐름으로 이어진다.",original_fortune_text,,오늘의운세,오늘의명언;운세,fortune-176
177,,,"이 순간의 조용한 결심이 가능성을 키운다, 생각보다 큰 결과로 이어진다.",original_fortune_text,,성장,오늘의명언;운세,fortune-177
178,,,"이 순간의 한 번의 선택이 가능성을 키운다, 곧 좋은 흐름으로 이어진다.",original_fortune_text,,도전,오늘의명언;운세,fortune-178
179,,,"이 순간의 작은 변화이 성장을 만든다, 천천히 빛을 보기 시작한다.",original_fortune_text,,오늘의운세,오늘의명언;운세,fortune-179
180,,,"한 걸음의 조용한 결심이 미래를 바꾼다, 조금씩 앞으로 나아간다.",original_fortune_text,,성장,오늘의명언;운세,fortune-180
181,,,"작은 용기의 작은 변화이 성장을 만든다, 곧 좋은 흐름으로 이어진다.",original_fortune_text,,성장,오늘의명언;운세,fortune-181
182,,,"당신의 선택의 작은 변화이 변화를 만든다, 조금씩 앞으로 나아간다.",original_fortune_text,,동기부여,오늘의명언;운세,fortune-182
183,,,"지금의 꾸준한 행동이 가능성을 키운다, 곧 좋은 흐름으로 이어진다.",original_fortune_text,,성장,오늘의명언;운세,fortune-183
