id,zodiac,total,money,health,love
4,닭띠,90,51,53,81
4,개띠,89,98,50,45
4,돼지띠,70,55,76,71
4,양자리,85,58,75,97
4,황소자리,58,55,74,40
4,쌍둥이자리,79,61,79,58
4,게자리,82,89,96,90
4,사자자리,90,87,95,71
4,처녀자리,64,57,68,53
4,천칭자리,58,82,97,74
4,전갈자리,58,92,70,43
4,사수자리,58,82,80,72
4,염소자리,88,55,53,72
4,물병자리,60,99,61,44
4,물고기자리,93,49,93,95
5,쥐띠,70,70,57,96
5,소띠,91,60,87,78
5,호랑이띠,57,84,55,66
5,토끼띠,97,82,86,73
5,용띠,75,61,63,82
5,뱀띠,75,60,66,65
5,말띠,63,87,91,59
5,양띠,84,65,98,99
5,원숭이띠,59,45,79,79
5,닭띠,91,51,54,74
5,개띠,68,77,66,48
5,돼지띠,77,49,65,63
5,양자리,73,55,78,93
5,황소자리,89,90,69,79
5,쌍둥이자리,96,78,50,82
5,게자리,90,64,92,46
5,사자자리,63,61,57,96
5,처녀자리,61,92,85,49
5,천칭자리,72,63,88,53
5,전갈자리,76,58,93,80
5,사수자리,71,77,81,56
5,염소자리,58,50,90,67
5,물병자리,72,47,50,61
5,물고기자리,63,85,66,50
6,쥐띠,83,80,95,67
6,소띠,90,45,57,44
6,호랑이띠,64,79,52,93
6,토끼띠,78,82,85,49
6,용띠,82,53,52,59
6,뱀띠,78,95,52,97
6,말띠,77,58,93,55
6,양띠,97,51,72,89
6,원숭이띠,90,71,89,87
6,닭띠,64,60,60,91
6,개띠,66,71,51,51
6,돼지띠,76,95,76,91
6,양자리,97,92,65,57
6,황소자리,65,95,94,46
6,쌍둥이자리,79,47,80,54
6,게자리,67,97,79,62
6,사자자리,74,97,64,54
6,처녀자리,56,87,62,65
6,천칭자리,76,62,54,89
6,전갈자리,72,67,91,72
6,사수자리,80,88,84,61
6,염소자리,56,52,66,51
6,물병자리,92,61,52,46
6,물고기자리,93,72,72,86
7,쥐띠,75,72,88,72
7,소띠,62,69,86,52
7,호랑이띠,71,47,95,67
7,토끼띠,55,78,84,83
7,용띠,97,57,73,67
7,뱀띠,59,87,71,79
7,말띠,75,87,57,86
7,양띠,74,77,69,82
7,원숭이띠,81,65,75,84
7,닭띠,73,80,58,52
7,개띠,81,87,74,83
7,돼지띠,66,84,86,59
7,양자리,80,80,50,59
7,황소자리,73,58,77,90
7,쌍둥이자리,92,83,91,60
7,게자리,84,73,78,83
7,사자자리,68,77,80,90
7,처녀자리,65,87,55,58
7,천칭자리,87,87,90,79
7,전갈자리,76,50,98,55
7,사수자리,98,64,64,91
7,염소자리,67,54,51,42
7,물병자리,70,75,89,94
7,물고기자리,59,74,76,96
8,쥐띠,95,81,62,85
8,소띠,79,76,75,55
8,호랑이띠,64,86,94,40
8,토끼띠,61,94,77,54
8,용띠,66,96,94,73
8,뱀띠,84,48,85,55
8,말띠,62,74,58,91
8,양띠,84,87,83,75
8,원숭이띠,93,65,98,97
8,닭띠,83,84,96,97
8,개띠,87,72,85,68
8,돼지띠,65,92,80,68
8,양자리,71,93,65,93
8,황소자리,95,62,99,89
8,쌍둥이자리,88,76,90,55
8,게자리,72,73,54,85
8,사자자리,73,60,67,61
8,처녀자리,75,79,55,48
8,천칭자리,64,59,74,84
8,전갈자리,64,90,63,44
8,사수자리,81,71,71,74
8,염소자리,84,71,53,53
8,물병자리,81,69,99,77
8,물고기자리,56,99,98,76
9,쥐띠,79,75,50,62
9,소띠,74,93,74,94
9,호랑이띠,81,79,97,87
9,토끼띠,89,96,88,97
9,용띠,69,76,64,57
9,뱀띠,82,76,51,64
9,말띠,76,87,93,91
9,양띠,80,91,60,93
9,원숭이띠,84,53,89,74
9,닭띠,56,70,87,76
9,개띠,97,46,55,81
9,돼지띠,82,53,79,51
9,양자리,58,61,74,60
9,황소자리,68,74,70,61
9,쌍둥이자리,79,62,98,93
9,게자리,81,61,55,70
9,사자자리,56,92,84,43
9,처녀자리,77,59,91,44
9,천칭자리,96,47,98,41
9,전갈자리,70,57,51,79
9,사수자리,64,60,58,70
9,염소자리,97,52,86,53
9,물병자리,84,89,66,89
9,물고기자리,78,55,88,78
10,쥐띠,62,94,60,59
10,소띠,61,82,51,99
10,호랑이띠,74,81,93,98
10,토끼띠,79,70,95,52
10,용띠,59,82,94,93
10,뱀띠,95,60,56,84
10,말띠,74,99,93,78
10,양띠,62,95,86,90
10,원숭이띠,57,67,84,67
10,닭띠,97,68,54,72
10,개띠,96,66,50,94
10,돼지띠,81,97,81,46
10,양자리,82,68,90,97
10,황소자리,84,90,59,67
10,쌍둥이자리,66,91,83,81
10,게자리,72,84,84,89
10,사자자리,85,74,77,92
10,처녀자리,92,62,70,94
10,천칭자리,70,98,55,57
10,전갈자리,83,60,98,69
10,사수자리,91,84,92,64
10,염소자리,76,46,81,94
10,물병자리,75,56,81,53
10,물고기자리,77,96,66,61
11,쥐띠,72,83,94,96
11,소띠,72,80,50,73
11,호랑이띠,67,50,65,86
11,토끼띠,81,76,85,88
11,용띠,70,89,80,81
11,뱀띠,86,73,51,45
11,말띠,73,59,75,84
11,양띠,70,64,92,77
11,원숭이띠,78,75,85,73
11,닭띠,77,72,97,75
11,개띠,76,67,94,69
11,돼지띠,72,64,66,54
11,양자리,62,91,62,60
11,황소자리,62,92,84,88
11,쌍둥이자리,66,57,63,87
11,게자리,85,62,96,77
11,사자자리,88,83,68,46
11,처녀자리,67,63,64,63
11,천칭자리,66,64,50,85
11,전갈자리,89,53,67,42
11,사수자리,58,80,68,84
11,염소자리,63,85,98,71
11,물병자리,61,45,86,58
11,물고기자리,85,75,78,61
12,쥐띠,66,48,66,95
12,소띠,85,52,54,65
12,호랑이띠,86,49,86,80
12,토끼띠,98,48,59,49
12,용띠,91,64,55,55
12,뱀띠,62,80,98,66
12,말띠,93,83,89,54
12,양띠,88,69,78,98
12,원숭이띠,83,64,87,67
12,닭띠,74,81,89,43
12,개띠,94,92,56,88
12,돼지띠,68,85,63,56
12,양자리,97,50,60,55
12,황소자리,66,80,54,50
12,쌍둥이자리,55,71,78,84
12,게자리,93,75,68,42
12,사자자리,69,63,95,58
12,처녀자리,84,49,93,54
12,천칭자리,71,95,90,77
12,전갈자리,97,96,62,67
12,사수자리,62,79,64,81
12,염소자리,64,62,59,44
12,물병자리,58,55,69,78
12,물고기자리,91,63,78,47
13,쥐띠,84,89,69,84
13,소띠,80,62,82,74
13,호랑이띠,86,73,55,78
13,토끼띠,57,72,97,60
13,용띠,93,61,51,45
13,뱀띠,69,88,86,77
13,말띠,56,93,93,92
13,양띠,72,81,52,88
13,원숭이띠,66,75,83,81
13,닭띠,83,62,61,77
13,개띠,82,85,81,45
13,돼지띠,85,67,76,61
13,양자리,75,87,56,94
13,황소자리,65,66,76,84
13,쌍둥이자리,86,63,92,65
13,게자리,90,47,79,45
13,사자자리,75,61,70,47
13,처녀자리,80,77,50,82
13,천칭자리,89,74,76,43
13,전갈자리,67,78,73,79
13,사수자리,86,85,78,88
13,염소자리,58,58,67,75
13,물병자리,63,63,78,96
13,물고기자리,86,52,51,80
14,쥐띠,93,96,65,85
14,소띠,65,64,85,40
14,호랑이띠,90,71,55,54
14,토끼띠,62,74,57,81
14,용띠,64,76,95,58
14,뱀띠,87,90,67,66
14,말띠,85,75,65,69
14,양띠,90,54,74,52
14,원숭이띠,93,77,97,96
14,닭띠,63,49,67,89
14,개띠,81,66,82,57
14,돼지띠,55,63,96,59
14,양자리,92,82,92,71
14,황소자리,64,73,84,70
14,쌍둥이자리,77,66,85,88
14,게자리,89,69,79,99
14,사자자리,75,57,94,55
14,처녀자리,91,69,64,94
14,천칭자리,81,47,70,87
14,전갈자리,85,90,74,64
14,사수자리,97,95,91,49
14,염소자리,86,47,58,72
14,물병자리,92,66,56,95
14,물고기자리,83,51,83,98
15,쥐띠,84,45,96,49
15,소띠,81,86,59,44
15,호랑이띠,85,95,66,61
15,토끼띠,94,89,75,81
15,용띠,60,99,71,94
15,뱀띠,98,99,84,64
15,말띠,75,85,95,96
15,양띠,86,79,52,79
15,원숭이띠,59,60,90,83
15,닭띠,73,59,97,45
15,개띠,82,51,98,80
15,돼지띠,61,73,60,84
15,양자리,74,46,52,60
15,황소자리,58,63,72,63
15,쌍둥이자리,82,54,65,73
15,게자리,81,81,93,90
15,사자자리,66,55,61,45
15,처녀자리,94,69,89,83
15,천칭자리,70,76,87,49
15,전갈자리,69,74,90,56
15,사수자리,84,61,92,40
15,염소자리,84,63,93,74
15,물병자리,65,49,78,62
15,물고기자리,92,64,90,67
16,쥐띠,71,74,69,52
16,소띠,79,99,80,46
16,호랑이띠,70,69,86,62
16,토끼띠,91,63,94,58
16,용띠,56,98,92,65
16,뱀띠,72,45,86,95
16,말띠,98,94,97,43
16,양띠,93,92,81,93
16,원숭이띠,73,94,64,78
16,닭띠,77,59,90,52
16,개띠,94,61,93,88
16,돼지띠,97,88,58,80
16,양자리,61,85,91,42
16,황소자리,74,95,78,42
16,쌍둥이자리,92,68,96,48
16,게자리,60,63,70,87
16,사자자리,81,56,62,48
16,처녀자리,89,68,83,72
16,천칭자리,72,98,60,56
16,전갈자리,85,96,68,87
16,사수자리,76,96,57,69
16,염소자리,59,54,98,54
16,물병자리,98,91,93,65
16,물고기자리,90,68,55,90
17,쥐띠,80,45,66,74
17,소띠,62,74,73,83
17,호랑이띠,98,61,87,64
17,토끼띠,95,68,56,83
17,용띠,69,75,51,79
17,뱀띠,90,65,89,54
17,말띠,96,49,90,92
17,양띠,84,89,69,81
17,원숭이띠,81,52,58,42
17,닭띠,57,64,81,47
17,개띠,61,60,84,48
17,돼지띠,79,74,73,82
17,양자리,89,71,87,87
17,황소자리,64,71,91,46
17,쌍둥이자리,86,84,76,57
17,게자리,57,89,73,53
17,사자자리,83,73,65,94
17,처녀자리,78,51,93,63
17,천칭자리,89,86,72,43
17,전갈자리,80,62,62,47
17,사수자리,84,50,92,53
17,염소자리,96,85,88,41
17,물병자리,58,95,71,55
17,물고기자리,63,95,86,53
18,쥐띠,59,98,98,75
18,소띠,68,82,63,92
18,호랑이띠,69,66,99,49
18,토끼띠,93,45,67,94
18,용띠,64,53,84,56
18,뱀띠,66,52,92,95
18,말띠,56,53,50,62
18,양띠,70,82,70,41
18,원숭이띠,66,61,53,48
18,닭띠,81,78,57,87
18,개띠,59,75,78,89
18,돼지띠,78,77,87,46
18,양자리,83,77,64,79
18,황소자리,57,91,92,73
18,쌍둥이자리,74,74,91,41
18,게자리,58,75,75,67
18,사자자리,98,51,81,85
18,처녀자리,83,49,55,60
18,천칭자리,93,54,54,48
18,전갈자리,72,84,90,77
18,사수자리,90,90,70,64
18,염소자리,93,78,68,69
18,물병자리,87,83,77,46
18,물고기자리,62,99,91,81
19,쥐띠,90,91,63,67
19,소띠,83,59,76,61
19,호랑이띠,84,70,76,86
19,토끼띠,61,65,77,60
19,용띠,97,61,73,49
19,뱀띠,98,75,54,45
19,말띠,60,50,77,46
19,양띠,78,96,58,75
19,원숭이띠,58,82,85,75
19,닭띠,76,87,57,66
19,개띠,77,87,98,67
19,돼지띠,58,63,88,59
19,양자리,77,51,86,72
19,황소자리,68,54,92,70
19,쌍둥이자리,69,99,56,62
19,게자리,90,68,57,88
19,사자자리,72,81,64,91
19,처녀자리,82,99,85,89
19,천칭자리,94,84,93,81
19,전갈자리,90,46,88,99
19,사수자리,97,98,94,57
19,염소자리,56,56,67,84
19,물병자리,74,66,72,40
19,물고기자리,66,54,86,82
20,쥐띠,80,49,59,87
20,소띠,95,46,55,87
20,호랑이띠,88,58,74,66
20,토끼띠,84,66,60,63
20,용띠,74,91,70,89
20,뱀띠,91,83,55,96
20,말띠,58,54,60,88
20,양띠,94,48,93,45
20,원숭이띠,72,73,92,67
20,닭띠,86,83,78,66
20,개띠,72,58,98,72
20,돼지띠,62,67,77,47
20,양자리,73,88,93,77
20,황소자리,86,78,92,59
20,쌍둥이자리,57,59,75,78
20,게자리,58,45,63,59
20,사자자리,68,94,58,88
20,처녀자리,71,63,70,47
20,천칭자리,55,76,97,67
20,전갈자리,66,53,74,74
20,사수자리,69,77,85,93
20,염소자리,97,96,72,44
20,물병자리,80,92,52,67
20,물고기자리,56,74,54,95
21,쥐띠,75,81,77,76
21,소띠,80,90,90,66
21,호랑이띠,73,52,75,41
21,토끼띠,75,55,89,69
21,용띠,78,50,77,94
21,뱀띠,61,60,77,77
21,말띠,80,78,55,65
21,양띠,74,92,71,54
21,원숭이띠,76,94,60,44
21,닭띠,87,85,57,73
21,개띠,87,57,99,62
21,돼지띠,77,91,91,92
21,양자리,64,60,56,49
21,황소자리,71,57,61,78
21,쌍둥이자리,64,93,98,81
21,게자리,59,56,99,80
21,사자자리,86,74,98,76
21,처녀자리,92,73,93,99
21,천칭자리,91,86,90,79
21,전갈자리,75,85,70,49
21,사수자리,83,49,80,68
21,염소자리,95,64,67,77
21,물병자리,58,67,82,44
21,물고기자리,74,74,78,42
22,쥐띠,58,68,68,44
22,소띠,96,99,55,79
22,호랑이띠,93,77,74,69
22,토끼띠,92,80,97,97
22,용띠,57,73,86,81
22,뱀띠,67,65,88,70
22,말띠,87,54,53,68
22,양띠,61,96,71,85
22,원숭이띠,60,77,91,51
22,닭띠,57,60,95,68
22,개띠,83,78,83,79
22,돼지띠,65,68,73,98
22,양자리,73,69,76,89
22,황소자리,76,88,88,43
22,쌍둥이자리,95,86,71,44
22,게자리,76,51,85,83
22,사자자리,79,63,66,86
22,처녀자리,97,83,59,61
22,천칭자리,60,82,92,49
22,전갈자리,77,64,91,84
22,사수자리,97,70,58,78
22,염소자리,60,64,85,64
22,물병자리,96,95,71,92
22,물고기자리,63,87,94,93
23,쥐띠,98,78,55,81
23,소띠,97,72,82,63
23,호랑이띠,56,68,69,51
23,토끼띠,68,66,99,71
23,용띠,67,59,58,49
23,뱀띠,59,63,56,72
23,말띠,89,98,97,96
23,양띠,88,47,92,61
23,원숭이띠,94,53,88,64
23,닭띠,64,55,61,93
23,개띠,94,96,60,86
23,돼지띠,83,47,76,63
23,양자리,98,91,65,68
23,황소자리,94,63,98,87
23,쌍둥이자리,83,59,84,55
23,게자리,74,96,80,97
23,사자자리,67,68,93,76
23,처녀자리,83,74,99,58
23,천칭자리,79,77,83,66
23,전갈자리,65,97,62,91
23,사수자리,93,53,66,43
23,염소자리,96,75,73,75
23,물병자리,61,90,83,94
23,물고기자리,62,63,55,88
24,쥐띠,65,62,78,97
24,소띠,87,54,77,45
24,호랑이띠,69,97,78,96
24,토끼띠,77,46,76,43
24,용띠,80,77,73,55
24,뱀띠,79,50,73,54
24,말띠,56,65,56,93
24,양띠,96,66,59,48
24,원숭이띠,57,63,80,84
24,닭띠,63,93,95,70
24,개띠,83,84,50,97
24,돼지띠,60,46,66,53
24,양자리,64,80,96,78
24,황소자리,88,72,57,89
24,쌍둥이자리,73,60,69,47
24,게자리,58,60,76,80
24,사자자리,94,74,54,47
24,처녀자리,86,83,84,41
24,천칭자리,95,77,86,55
24,전갈자리,64,63,77,40
24,사수자리,94,67,65,76
24,염소자리,81,56,92,82
24,물병자리,60,78,73,44
24,물고기자리,88,79,82,90
25,쥐띠,87,80,51,64
25,소띠,85,47,90,64
25,호랑이띠,78,61,97,41
25,토끼띠,77,95,54,62
25,용띠,70,91,92,80
25,뱀띠,61,94,87,87
25,말띠,76,53,52,62
25,양띠,89,66,91,51
25,원숭이띠,98,74,94,70
25,닭띠,95,56,58,44
25,개띠,84,47,68,52
25,돼지띠,57,95,62,96
25,양자리,57,65,69,72
25,황소자리,80,97,84,70
25,쌍둥이자리,71,47,98,81
25,게자리,67,63,72,95
25,사자자리,58,86,71,57
25,처녀자리,62,96,73,67
25,천칭자리,80,92,78,97
25,전갈자리,79,66,61,71
25,사수자리,86,68,83,57
25,염소자리,60,91,77,45
25,물병자리,82,83,61,74
25,물고기자리,73,65,56,45
26,쥐띠,75,87,68,59
26,소띠,83,83,95,67
26,호랑이띠,65,89,78,62
26,토끼띠,83,47,96,95
26,용띠,77,84,77,57
26,뱀띠,95,95,53,44
26,말띠,97,85,75,63
26,양띠,87,96,97,83
26,원숭이띠,65,46,59,94
26,닭띠,93,88,78,42
26,개띠,63,49,65,89
26,돼지띠,96,68,73,64
26,양자리,91,47,88,49
26,황소자리,98,73,73,63
26,쌍둥이자리,83,93,54,76
26,게자리,63,78,73,65
26,사자자리,75,86,67,55
26,처녀자리,62,46,97,51
26,천칭자리,86,78,74,98
26,전갈자리,90,52,66,89
26,사수자리,71,90,78,53
26,염소자리,94,63,94,98
26,물병자리,86,57,57,48
26,물고기자리,59,73,61,97
27,쥐띠,83,50,93,94
27,소띠,75,87,72,85
27,호랑이띠,59,80,84,58
27,토끼띠,74,99,60,85
27,용띠,95,56,73,72
27,뱀띠,69,52,62,90
27,말띠,63,60,81,41
27,양띠,78,80,86,63
27,원숭이띠,84,96,85,48
27,닭띠,94,50,54,59
27,개띠,80,90,96,70
27,돼지띠,88,71,99,66
27,양자리,91,49,58,60
27,황소자리,96,49,78,69
27,쌍둥이자리,98,78,72,48
27,게자리,90,85,87,51
27,사자자리,63,72,82,98
27,처녀자리,58,98,57,73
27,천칭자리,64,64,60,50
27,전갈자리,75,90,64,62
27,사수자리,88,63,55,56
27,염소자리,67,85,85,57
27,물병자리,63,85,69,79
27,물고기자리,89,50,82,81
28,쥐띠,65,82,87,49
28,소띠,65,87,89,86
28,호랑이띠,93,66,86,42
28,토끼띠,56,50,52,81
28,용띠,91,61,91,53
28,뱀띠,91,71,89,80
28,말띠,56,76,90,74
28,양띠,73,86,69,70
28,원숭이띠,70,96,93,65
28,닭띠,74,74,54,84
28,개띠,58,55,78,66
28,돼지띠,85,74,63,61
28,양자리,93,54,70,95
28,황소자리,75,91,72,65
28,쌍둥이자리,63,93,73,72
28,게자리,90,51,70,55
28,사자자리,84,52,67,68
28,처녀자리,70,54,56,43
28,천칭자리,73,69,89,66
28,전갈자리,70,55,70,99
28,사수자리,91,91,70,52
28,염소자리,65,76,82,69
28,물병자리,86,64,81,41
28,물고기자리,60,70,82,69
29,쥐띠,70,58,87,62
29,소띠,58,48,68,71
29,호랑이띠,93,98,91,83
29,토끼띠,85,63,84,40
29,용띠,61,72,58,96
29,뱀띠,71,91,73,88
29,말띠,80,68,52,65
29,양띠,58,81,85,52
29,원숭이띠,78,80,68,44
29,닭띠,79,77,78,88
29,개띠,90,62,89,83
29,돼지띠,94,52,58,46
29,양자리,80,68,71,75
29,황소자리,78,93,59,52
29,쌍둥이자리,93,77,75,72
29,게자리,57,47,52,48
29,사자자리,76,96,80,73
29,처녀자리,84,54,88,97
29,천칭자리,87,53,70,99
29,전갈자리,94,65,60,65
29,사수자리,94,92,69,77
29,염소자리,76,77,82,74
29,물병자리,86,90,86,59
29,물고기자리,85,97,51,63
30,쥐띠,76,88,57,66
30,소띠,92,64,96,95
30,호랑이띠,95,46,88,70
30,토끼띠,71,86,99,77
30,용띠,91,59,96,43
30,뱀띠,92,75,60,73
30,말띠,95,91,89,89
30,양띠,79,54,93,55
30,원숭이띠,57,81,94,47
30,닭띠,67,46,78,60
30,개띠,81,54,76,84
30,돼지띠,68,71,82,89
30,양자리,94,75,97,86
30,황소자리,58,90,58,73
30,쌍둥이자리,68,80,70,82
30,게자리,85,78,74,60
30,사자자리,66,74,84,61
30,처녀자리,89,67,93,89
30,천칭자리,98,86,94,56
30,전갈자리,94,75,62,55
30,사수자리,72,80,69,54
30,염소자리,74,94,68,85
30,물병자리,68,89,95,71
30,물고기자리,75,75,72,75
31,쥐띠,72,63,57,76
31,소띠,98,79,74,97
31,호랑이띠,80,97,72,89
31,토끼띠,64,63,52,58
31,용띠,60,67,78,81
31,뱀띠,71,92,80,53
31,말띠,67,97,84,57
31,양띠,90,89,67,48
31,원숭이띠,61,84,97,77
31,닭띠,70,60,53,82
31,개띠,88,59,90,54
31,돼지띠,58,51,76,61
31,양자리,85,51,93,89
31,황소자리,63,45,85,99
31,쌍둥이자리,65,71,91,99
31,게자리,85,75,91,52
31,사자자리,73,65,68,81
31,처녀자리,58,94,55,81
31,천칭자리,91,59,84,87
31,전갈자리,57,56,76,96
31,사수자리,66,47,75,90
31,염소자리,86,56,97,95
31,물병자리,73,47,50,59
31,물고기자리,91,83,56,99
32,쥐띠,76,63,79,81
32,소띠,89,78,81,96
32,호랑이띠,63,99,82,69
32,토끼띠,72,57,57,61
32,용띠,65,91,79,81
32,뱀띠,71,90,61,40
32,말띠,76,95,68,76
32,양띠,98,93,62,51
32,원숭이띠,94,99,90,97
32,닭띠,80,97,77,72
32,개띠,75,50,75,82
32,돼지띠,61,56,58,70
32,양자리,75,60,50,56
32,황소자리,79,60,78,88
32,쌍둥이자리,72,66,69,77
32,게자리,91,45,66,81
32,사자자리,78,89,65,43
32,처녀자리,97,52,79,59
32,천칭자리,65,70,93,72
32,전갈자리,74,89,57,80
32,사수자리,73,68,89,54
32,염소자리,69,53,80,49
32,물병자리,84,92,88,63
32,물고기자리,81,89,85,98
33,쥐띠,85,93,84,91
33,소띠,97,97,63,88
33,호랑이띠,70,88,98,78
33,토끼띠,60,78,78,73
33,용띠,78,49,86,47
33,뱀띠,58,98,85,97
33,말띠,87,57,86,74
33,양띠,64,55,70,94
33,원숭이띠,88,73,57,83
33,닭띠,68,90,87,71
33,개띠,60,77,78,91
33,돼지띠,58,74,58,72
33,양자리,81,74,86,43
33,황소자리,90,74,93,91
33,쌍둥이자리,74,91,51,65
33,게자리,71,97,50,87
33,사자자리,68,82,54,42
33,처녀자리,82,67,94,44
33,천칭자리,89,48,54,99
33,전갈자리,85,47,68,66
33,사수자리,66,94,58,89
33,염소자리,96,91,91,66
33,물병자리,78,69,78,95
33,물고기자리,79,69,55,83
34,쥐띠,97,79,58,81
34,소띠,77,52,61,74
34,호랑이띠,80,78,58,86
34,토끼띠,69,98,50,88
34,용띠,56,64,79,83
34,뱀띠,89,72,84,64
34,말띠,69,60,79,62
34,양띠,64,62,62,99
34,원숭이띠,62,47,92,66
34,닭띠,94,94,51,55
34,개띠,68,49,56,78
34,돼지띠,57,73,88,83
34,양자리,58,60,97,42
34,황소자리,80,73,64,74
34,쌍둥이자리,68,93,99,43
34,게자리,63,77,68,54
34,사자자리,91,65,86,78
34,처녀자리,98,97,70,55
34,천칭자리,74,54,92,73
34,전갈자리,69,71,69,57
34,사수자리,58,80,87,96
34,염소자리,66,85,93,67
34,물병자리,90,76,53,62
34,물고기자리,96,87,74,90
35,쥐띠,88,65,94,66
35,소띠,81,54,69,64
35,호랑이띠,66,93,84,70
35,토끼띠,70,99,64,59
35,용띠,64,96,79,98
35,뱀띠,58,80,76,66
35,말띠,90,78,58,64
35,양띠,70,61,63,61
35,원숭이띠,96,50,78,94
35,닭띠,78,50,84,86
35,개띠,67,48,67,64
35,돼지띠,98,83,88,42
35,양자리,59,57,98,77
35,황소자리,97,80,63,70
35,쌍둥이자리,68,66,69,98
35,게자리,55,58,62,87
35,사자자리,62,92,98,70
35,처녀자리,70,89,88,85
35,천칭자리,68,70,65,75
35,전갈자리,75,94,68,64
35,사수자리,84,79,91,62
35,염소자리,74,61,73,72
35,물병자리,86,74,56,91
35,물고기자리,85,93,70,98
36,쥐띠,68,68,70,66
36,소띠,57,81,64,87
36,호랑이띠,64,46,66,75
36,토끼띠,92,82,96,66
36,용띠,73,54,62,61
36,뱀띠,69,69,86,93
36,말띠,70,76,85,81
36,양띠,98,66,66,88
36,원숭이띠,86,91,91,87
36,닭띠,86,74,60,86
36,개띠,77,55,58,86
36,돼지띠,89,76,61,98
36,양자리,89,86,53,73
36,황소자리,57,98,54,92
36,쌍둥이자리,97,48,98,40
36,게자리,81,53,90,54
36,사자자리,59,90,59,40
36,처녀자리,68,77,79,63
36,천칭자리,58,84,90,82
36,전갈자리,94,75,92,71
36,사수자리,56,45,84,75
36,염소자리,81,45,51,73
36,물병자리,72,79,68,41
36,물고기자리,87,97,94,83
37,쥐띠,82,96,61,46
37,소띠,61,78,59,55
37,호랑이띠,67,84,83,56
37,토끼띠,77,62,75,45
37,용띠,78,70,79,76
37,뱀띠,70,89,64,59
37,말띠,98,97,55,81
37,양띠,96,93,52,45
37,원숭이띠,80,69,74,75
37,닭띠,85,48,90,40
37,개띠,65,50,81,94
37,돼지띠,82,86,71,76
37,양자리,61,78,52,54
37,황소자리,68,89,86,70
37,쌍둥이자리,72,47,54,83
37,게자리,72,79,86,82
37,사자자리,57,56,70,41
37,처녀자리,68,82,59,88
37,천칭자리,80,49,69,50
37,전갈자리,91,60,86,93
37,사수자리,79,88,84,61
37,염소자리,79,93,97,48
37,물병자리,60,77,97,62
37,물고기자리,58,51,77,54
38,쥐띠,59,66,88,89
38,소띠,94,83,75,89
38,호랑이띠,75,46,90,57
38,토끼띠,83,76,64,62
38,용띠,90,69,77,51
38,뱀띠,98,82,92,64
38,말띠,60,94,89,58
38,양띠,70,90,54,45
38,원숭이띠,72,54,74,85
38,닭띠,95,54,97,64
38,개띠,75,68,56,45
38,돼지띠,55,64,78,63
38,양자리,72,51,58,45
38,황소자리,66,72,78,75
38,쌍둥이자리,90,77,76,46
38,게자리,56,50,72,75
38,사자자리,60,83,88,90
38,처녀자리,75,69,50,58
38,천칭자리,81,69,99,45
38,전갈자리,90,60,86,73
