filename,card_name,card_name_ko,arcana,number,upright_meaning,reversed_meaning,keywords_ko
pentacles04.jpg,Four of Pentacles,펜타클 4,Minor,4,보안 저장 보수주의 물질주의 소유욕,탐욕 물질주의 집착 인색 금전 의존,"안정,소유,보수"
pentacles05.jpg,Five of Pentacles,펜타클 5,Minor,5,재정 손실 가난 절망 고립 고통,회복 정신 충만 고립 종료,"빈곤,고통,도움"
pentacles06.jpg,Six of Pentacles,펜타클 6,Minor,6,관대함 베풀기 나눔 풍요 받는 것,빚 이기심 자선 규모 불균형,"나눔,관대,균형"
pentacles07.jpg,Seven of Pentacles,펜타클 7,Minor,7,비전 장기 투자 지속성 이익 수확,지체 계획 부재 이익 없음 투자 고민,"인내,투자,성장"
pentacles08.jpg,Eight of Pentacles,펜타클 8,Minor,8,야망 집중 기술 반복 발전,자기 계발 부족 일 없음 동기 부재,"기술,집중,발전"
pentacles09.jpg,Nine of Pentacles,펜타클 9,Minor,9,풍요 사치 자기 충족 은퇴 독립,재정 문제 자기 의존 낭비 버는 것에 집중,"풍요,독립,성취"
pentacles10.jpg,Ten of Pentacles,펜타클 10,Minor,10,부유함 재정 안정 가족 지속성 은퇴,재정 실패 부정 손실 불안정 가족 분쟁,"풍요,가족,안정"
pentacles11.jpg,Page of Pentacles,펜타클 시종,Minor,11,개선 기술 배움 새 기회 완벽주의,비능률 공부 부족 미래 계획 부재,"배움,열망,기회"
pentacles12.jpg,Knight of Pentacles,펜타클 기사,Minor,12,효율성 일 루틴 신뢰 방법론,지루함 정체 안주 집착,"성실,신뢰,책임"
pentacles13.jpg,Queen of Pentacles,펜타클 여왕,Minor,13,현실적 안정 실용적 너그러운 자기 충족,안정 불균형 조직 부족 독립 불가능,"현실,풍요,보호"
pentacles14.jpg,King of Pentacles,펜타클 왕,Minor,14,부유함 사업 리더십 안정성 절제,물질적 불안정 욕심 신뢰 없음 비즈니스 실패,"성공,부유,리더십"
