id,zodiac,item
8,양자리,작은 수첩
8,황소자리,대나무 칫솔
8,쌍둥이자리,호안석
8,게자리,로즈쿼츠
8,사자자리,작은 거울
8,처녀자리,나침반
8,천칭자리,자수정
8,전갈자리,작은 수첩
8,사수자리,호안석
8,염소자리,청금석
8,물병자리,가죽 지갑
8,물고기자리,나무 빗
9,양자리,호안석
9,황소자리,별 모양 스티커
9,쌍둥이자리,천연 비누
9,게자리,나무 연필
9,사자자리,은반지
9,처녀자리,수정 팔찌
9,천칭자리,초록 식물
9,전갈자리,나무 연필
9,사수자리,금색 열쇠고리
9,염소자리,흰색 손수건
9,물병자리,라벤더 향주머니
9,물고기자리,파란 돌
10,양자리,흰 조약돌
10,황소자리,작은 지도
10,쌍둥이자리,조개껍데기
10,게자리,수정 팔찌
10,사자자리,노란 메모지
10,처녀자리,별자리 카드
10,천칭자리,네잎클로버
10,전갈자리,로즈쿼츠
10,사수자리,파란 돌
10,염소자리,파란 볼펜
10,물병자리,파란 볼펜
10,물고기자리,작은 지도
11,양자리,수정 팔찌
11,황소자리,호안석
11,쌍둥이자리,천연 비누
11,게자리,네잎클로버
11,사자자리,호안석
11,처녀자리,대나무 칫솔
11,천칭자리,흰색 손수건
11,전갈자리,유리구슬
11,사수자리,라벤더 향주머니
11,염소자리,청금석
11,물병자리,은반지
11,물고기자리,초록 우산
12,양자리,빨간 실
12,황소자리,조개껍데기
12,쌍둥이자리,파란 돌
12,게자리,흰색 손수건
12,사자자리,실크 스카프
12,처녀자리,조개껍데기
12,천칭자리,네잎클로버
12,전갈자리,나무 빗
12,사수자리,은색 동전
12,염소자리,민트사탕
12,물병자리,파란 볼펜
12,물고기자리,작은 거울
13,양자리,흑요석
13,황소자리,천연 비누
13,쌍둥이자리,호안석
13,게자리,작은 거북이 인형
13,사자자리,나무 빗
13,처녀자리,나침반
13,천칭자리,천연 비누
13,전갈자리,은색 동전
13,사수자리,초록 식물
13,염소자리,호안석
13,물병자리,빨간 실
13,물고기자리,흑요석
14,양자리,향초
14,황소자리,실크 스카프
14,쌍둥이자리,나비 모양 핀
14,게자리,천연 비누
14,사자자리,작은 지도
14,처녀자리,작은 거울
14,천칭자리,초록 식물
14,전갈자리,나무 연필
14,사수자리,흰색 손수건
14,염소자리,파란 돌
14,물병자리,별 모양 스티커
14,물고기자리,별 모양 스티커
15,양자리,작은 거북이 인형
15,황소자리,작은 지도
15,쌍둥이자리,흰색 손수건
15,게자리,실크 스카프
15,사자자리,흑요석
15,처녀자리,유리구슬
15,천칭자리,흑요석
15,전갈자리,로즈쿼츠
15,사수자리,초록 우산
15,염소자리,초록 식물
15,물병자리,빨간 실
15,물고기자리,로즈쿼츠
16,양자리,노란 메모지
16,황소자리,호안석
16,쌍둥이자리,은색 동전
16,게자리,작은 수첩
16,사자자리,줄무늬 양말
16,처녀자리,빨간 실
16,천칭자리,파란 볼펜
16,전갈자리,흰 조약돌
16,사수자리,로즈쿼츠
16,염소자리,민트사탕
16,물병자리,책갈피
16,물고기자리,유리구슬
17,양자리,라벤더 향주머니
17,황소자리,대나무 칫솔
17,쌍둥이자리,은반지
17,게자리,로즈쿼츠
17,사자자리,파란 볼펜
17,처녀자리,금색 열쇠고리
17,천칭자리,로즈쿼츠
17,전갈자리,금색 열쇠고리
17,사수자리,흰색 손수건
17,염소자리,금색 열쇠고리
17,물병자리,흰 조약돌
17,물고기자리,줄무늬 양말
18,양자리,작은 수첩
18,황소자리,파란 볼펜
18,쌍둥이자리,달 모양 귀걸이
18,게자리,유리구슬
18,사자자리,파란 볼펜
18,처녀자리,빨간 실
18,천칭자리,초록 우산
18,전갈자리,호안석
18,사수자리,초록 식물
18,염소자리,호안석
18,물병자리,초록 식물
18,물고기자리,청금석
19,양자리,자수정
19,황소자리,대나무 칫솔
19,쌍둥이자리,흰색 손수건
19,게자리,라벤더 향주머니
19,사자자리,줄무늬 양말
19,처녀자리,자수정
19,천칭자리,빨간 실
19,전갈자리,대나무 칫솔
19,사수자리,작은 수첩
19,염소자리,로즈쿼츠
19,물병자리,초록 식물
19,물고기자리,별자리 카드
20,양자리,수정 팔찌
20,황소자리,달 모양 귀걸이
20,쌍둥이자리,달 모양 귀걸이
20,게자리,자수정
20,사자자리,빨간 실
20,처녀자리,나비 모양 핀
20,천칭자리,향초
20,전갈자리,작은 거울
20,사수자리,은색 동전
20,염소자리,나무 연필
20,물병자리,은색 동전
20,물고기자리,조개껍데기
21,양자리,유리구슬
21,황소자리,파란 돌
21,쌍둥이자리,책갈피
21,게자리,별 모양 스티커
21,사자자리,빨간 실
21,처녀자리,금색 열쇠고리
21,천칭자리,가죽 지갑
21,전갈자리,천연 비누
21,사수자리,작은 거울
21,염소자리,조개껍데기
21,물병자리,천연 비누
21,물고기자리,로즈쿼츠
22,양자리,라벤더 향주머니
22,황소자리,가죽 지갑
22,쌍둥이자리,초록 우산
22,게자리,천연 비누
22,사자자리,은색 동전
22,처녀자리,네잎클로버
22,천칭자리,나침반
22,전갈자리,향초
22,사수자리,라벤더 향주머니
22,염소자리,로즈쿼츠
22,물병자리,달 모양 귀걸이
22,물고기자리,유리구슬
23,양자리,작은 거울
23,황소자리,천연 비누
23,쌍둥이자리,작은 거울
23,게자리,나비 모양 핀
23,사자자리,천연 비누
23,처녀자리,작은 거북이 인형
23,천칭자리,노란 메모지
23,전갈자리,나무 연필
23,사수자리,줄무늬 양말
23,염소자리,유리구슬
23,물병자리,민트사탕
23,물고기자리,별 모양 스티커
24,양자리,흰 조약돌
24,황소자리,별 모양 스티커
24,쌍둥이자리,줄무늬 양말
24,게자리,줄무늬 양말
24,사자자리,파란 돌
24,처녀자리,민트사탕
24,천칭자리,나무 연필
24,전갈자리,로즈쿼츠
24,사수자리,줄무늬 양말
24,염소자리,흰 조약돌
24,물병자리,빨간 실
24,물고기자리,작은 거울
25,양자리,가죽 지갑
25,황소자리,향초
25,쌍둥이자리,흰색 손수건
25,게자리,작은 지도
25,사자자리,자수정
25,처녀자리,초록 식물
25,천칭자리,청금석
25,전갈자리,호안석
25,사수자리,은반지
25,염소자리,청금석
25,물병자리,호안석
25,물고기자리,나무 빗
26,양자리,유리구슬
26,황소자리,은색 동전
26,쌍둥이자리,작은 수첩
26,게자리,달 모양 귀걸이
26,사자자리,은반지
26,처녀자리,나무 연필
26,천칭자리,로즈쿼츠
26,전갈자리,달 모양 귀걸이
26,사수자리,나침반
26,염소자리,나비 모양 핀
26,물병자리,수정 팔찌
26,물고기자리,유리구슬
27,양자리,천연 비누
27,황소자리,작은 수첩
27,쌍둥이자리,네잎클로버
27,게자리,라벤더 향주머니
27,사자자리,나침반
27,처녀자리,실크 스카프
27,천칭자리,조개껍데기
27,전갈자리,파란 돌
27,사수자리,작은 지도
27,염소자리,은반지
27,물병자리,달 모양 귀걸이
27,물고기자리,수정 팔찌
28,양자리,자수정
28,황소자리,실크 스카프
28,쌍둥이자리,금색 열쇠고리
28,게자리,은반지
28,사자자리,흰 조약돌
28,처녀자리,흑요석
28,천칭자리,실크 스카프
28,전갈자리,흑요석
28,사수자리,금색 열쇠고리
28,염소자리,작은 거북이 인형
28,물병자리,자수정
28,물고기자리,나무 연필
29,양자리,작은 수첩
29,황소자리,나침반
29,쌍둥이자리,흑요석
29,게자리,파란 볼펜
29,사자자리,노란 메모지
29,처녀자리,별 모양 스티커
29,천칭자리,별자리 카드
29,전갈자리,호안석
29,사수자리,초록 우산
29,염소자리,흰 조약돌
29,물병자리,금색 열쇠고리
29,물고기자리,흑요석
30,양자리,네잎클로버
30,황소자리,대나무 칫솔
30,쌍둥이자리,조개껍데기
30,게자리,별 모양 스티커
30,사자자리,향초
30,처녀자리,작은 거울
30,천칭자리,줄무늬 양말
30,전갈자리,작은 지도
30,사수자리,작은 지도
30,염소자리,흑요석
30,물병자리,파란 돌
30,물고기자리,나무 빗
31,양자리,자수정
31,황소자리,초록 식물
31,쌍둥이자리,금색 열쇠고리
31,게자리,책갈피
31,사자자리,민트사탕
31,처녀자리,은반지
31,천칭자리,민트사탕
31,전갈자리,책갈피
31,사수자리,네잎클로버
31,염소자리,대나무 칫솔
31,물병자리,흰색 손수건
31,물고기자리,수정 팔찌
32,양자리,조개껍데기
32,황소자리,유리구슬
32,쌍둥이자리,초록 우산
32,게자리,흰색 손수건
32,사자자리,은반지
32,처녀자리,민트사탕
32,천칭자리,작은 지도
32,전갈자리,나침반
32,사수자리,가죽 지갑
32,염소자리,작은 거북이 인형
32,물병자리,향초
32,물고기자리,나침반
33,양자리,유리구슬
33,황소자리,책갈피
33,쌍둥이자리,로즈쿼츠
33,게자리,흰색 손수건
33,사자자리,은색 동전
33,처녀자리,나무 빗
33,천칭자리,나무 연필
33,전갈자리,작은 수첩
33,사수자리,조개껍데기
33,염소자리,작은 수첩
33,물병자리,로즈쿼츠
33,물고기자리,작은 지도
34,양자리,대나무 칫솔
34,황소자리,초록 우산
34,쌍둥이자리,금색 열쇠고리
34,게자리,천연 비누
34,사자자리,네잎클로버
34,처녀자리,자수정
34,천칭자리,은반지
34,전갈자리,나침반
34,사수자리,초록 식물
34,염소자리,청금석
34,물병자리,노란 메모지
34,물고기자리,초록 식물
35,양자리,향초
35,황소자리,나무 연필
35,쌍둥이자리,파란 돌
35,게자리,초록 우산
35,사자자리,별자리 카드
35,처녀자리,흰색 손수건
35,천칭자리,별 모양 스티커
35,전갈자리,흑요석
35,사수자리,파란 돌
35,염소자리,나침반
35,물병자리,은색 동전
35,물고기자리,책갈피
36,양자리,천연 비누
36,황소자리,작은 거울
36,쌍둥이자리,노란 메모지
36,게자리,로즈쿼츠
36,사자자리,노란 메모지
36,처녀자리,나비 모양 핀
36,천칭자리,유리구슬
36,전갈자리,파란 볼펜
36,사수자리,책갈피
36,염소자리,천연 비누
36,물병자리,가죽 지갑
36,물고기자리,조개껍데기
37,양자리,초록 식물
37,황소자리,청금석
37,쌍둥이자리,초록 식물
37,게자리,수정 팔찌
37,사자자리,실크 스카프
37,처녀자리,파란 볼펜
37,천칭자리,빨간 실
37,전갈자리,은반지
37,사수자리,노란 메모지
37,염소자리,나무 빗
37,물병자리,작은 수첩
37,물고기자리,나무 연필
38,양자리,작은 지도
38,황소자리,금색 열쇠고리
38,쌍둥이자리,대나무 칫솔
38,게자리,작은 거울
38,사자자리,작은 거울
38,처녀자리,나무 빗
38,천칭자리,향초
38,전갈자리,나무 연필
38,사수자리,파란 볼펜
38,염소자리,초록 식물
38,물병자리,은반지
38,물고기자리,파란 돌
39,양자리,별 모양 스티커
39,황소자리,책갈피
39,쌍둥이자리,민트사탕
39,게자리,민트사탕
39,사자자리,작은 지도
39,처녀자리,빨간 실
39,천칭자리,나무 빗
39,전갈자리,파란 볼펜
39,사수자리,수정 팔찌
39,염소자리,나침반
39,물병자리,유리구슬
39,물고기자리,대나무 칫솔
40,양자리,파란 돌
40,황소자리,작은 수첩
40,쌍둥이자리,작은 거울
40,게자리,작은 거울
40,사자자리,초록 우산
40,처녀자리,네잎클로버
40,천칭자리,향초
40,전갈자리,민트사탕
40,사수자리,나침반
40,염소자리,민트사탕
40,물병자리,초록 식물
40,물고기자리,초록 우산
41,양자리,수정 팔찌
41,황소자리,달 모양 귀걸이
41,쌍둥이자리,호안석
41,게자리,라벤더 향주머니
41,사자자리,조개껍데기
41,처녀자리,초록 우산
41,천칭자리,은색 동전
41,전갈자리,은색 동전
41,사수자리,초록 식물
41,염소자리,조개껍데기
41,물병자리,은반지
41,물고기자리,달 모양 귀걸이
42,양자리,나침반
42,황소자리,파란 돌
42,쌍둥이자리,유리구슬
42,게자리,수정 팔찌
42,사자자리,파란 돌
42,처녀자리,로즈쿼츠
42,천칭자리,수정 팔찌
42,전갈자리,나침반
42,사수자리,파란 볼펜
42,염소자리,천연 비누
42,물병자리,가죽 지갑
42,물고기자리,별자리 카드
43,양자리,유리구슬
43,황소자리,별 모양 스티커
43,쌍둥이자리,노란 메모지
43,게자리,달 모양 귀걸이
43,사자자리,호안석
43,처녀자리,금색 열쇠고리
43,천칭자리,대나무 칫솔
43,전갈자리,네잎클로버
43,사수자리,금색 열쇠고리
43,염소자리,책갈피
43,물병자리,파란 돌
43,물고기자리,작은 지도
44,양자리,청금석
44,황소자리,나침반
44,쌍둥이자리,초록 우산
44,게자리,호안석
44,사자자리,실크 스카프
44,처녀자리,천연 비누
44,천칭자리,흰색 손수건
44,전갈자리,라벤더 향주머니
44,사수자리,흰색 손수건
44,염소자리,실크 스카프
44,물병자리,금색 열쇠고리
44,물고기자리,은색 동전
45,양자리,가죽 지갑
45,황소자리,노란 메모지
45,쌍둥이자리,초록 식물
45,게자리,달 모양 귀걸이
45,사자자리,노란 메모지
45,처녀자리,흰 조약돌
45,천칭자리,향초
45,전갈자리,네잎클로버
45,사수자리,은색 동전
45,염소자리,작은 거울
45,물병자리,라벤더 향주머니
45,물고기자리,은색 동전
46,양자리,초록 식물
46,황소자리,라벤더 향주머니
46,쌍둥이자리,조개껍데기
46,게자리,파란 볼펜
46,사자자리,별자리 카드
46,처녀자리,라벤더 향주머니
46,천칭자리,흑요석
46,전갈자리,초록 우산
46,사수자리,향초
46,염소자리,호안석
46,물병자리,향초
46,물고기자리,빨간 실
47,양자리,나침반
47,황소자리,작은 거북이 인형
47,쌍둥이자리,별 모양 스티커
47,게자리,민트사탕
47,사자자리,수정 팔찌
47,처녀자리,파란 볼펜
47,천칭자리,향초
47,전갈자리,별자리 카드
47,사수자리,노란 메모지
47,염소자리,별 모양 스티커
47,물병자리,천연 비누
47,물고기자리,파란 돌
48,양자리,가죽 지갑
48,황소자리,초록 식물
48,쌍둥이자리,천연 비누
48,게자리,수정 팔찌
48,사자자리,조개껍데기
48,처녀자리,책갈피
48,천칭자리,민트사탕
48,전갈자리,수정 팔찌
48,사수자리,조개껍데기
48,염소자리,초록 식물
48,물병자리,파란 볼펜
48,물고기자리,가죽 지갑
49,양자리,호안석
49,황소자리,흰 조약돌
49,쌍둥이자리,조개껍데기
49,게자리,실크 스카프
49,사자자리,천연 비누
49,처녀자리,작은 거북이 인형
49,천칭자리,네잎클로버
49,전갈자리,흰색 손수건
49,사수자리,향초
49,염소자리,줄무늬 양말
49,물병자리,대나무 칫솔
49,물고기자리,흰 조약돌
50,양자리,줄무늬 양말
50,황소자리,작은 거울
50,쌍둥이자리,호안석
50,게자리,금색 열쇠고리
50,사자자리,작은 거북이 인형
50,처녀자리,작은 거북이 인형
50,천칭자리,달 모양 귀걸이
50,전갈자리,초록 우산
50,사수자리,빨간 실
50,염소자리,흰색 손수건
50,물병자리,나무 빗
50,물고기자리,작은 거북이 인형
51,양자리,나침반
51,황소자리,금색 열쇠고리
51,쌍둥이자리,작은 지도
51,게자리,책갈피
51,사자자리,자수정
51,처녀자리,은반지
51,천칭자리,작은 지도
51,전갈자리,네잎클로버
51,사수자리,나무 빗
51,염소자리,실크 스카프
51,물병자리,작은 거울
51,물고기자리,초록 우산
52,양자리,작은 수첩
52,황소자리,네잎클로버
52,쌍둥이자리,별 모양 스티커
52,게자리,나비 모양 핀
52,사자자리,금색 열쇠고리
52,처녀자리,대나무 칫솔
52,천칭자리,줄무늬 양말
52,전갈자리,작은 지도
52,사수자리,호안석
52,염소자리,은색 동전
52,물병자리,네잎클로버
52,물고기자리,책갈피
53,양자리,파란 볼펜
53,황소자리,별 모양 스티커
53,쌍둥이자리,은반지
53,게자리,호안석
53,사자자리,작은 거북이 인형
53,처녀자리,흰색 손수건
53,천칭자리,책갈피
53,전갈자리,은반지
53,사수자리,나무 빗
53,염소자리,흑요석
53,물병자리,노란 메모지
53,물고기자리,작은 거울
54,양자리,조개껍데기
54,황소자리,청금석
54,쌍둥이자리,별자리 카드
54,게자리,천연 비누
54,사자자리,빨간 실
54,처녀자리,가죽 지갑
54,천칭자리,대나무 칫솔
54,전갈자리,작은 지도
54,사수자리,노란 메모지
54,염소자리,파란 볼펜
54,물병자리,은반지
54,물고기자리,책갈피
55,양자리,나무 빗
55,황소자리,초록 식물
55,쌍둥이자리,나비 모양 핀
55,게자리,작은 거북이 인형
55,사자자리,은색 동전
55,처녀자리,로즈쿼츠
55,천칭자리,조개껍데기
55,전갈자리,라벤더 향주머니
55,사수자리,나침반
55,염소자리,조개껍데기
55,물병자리,가죽 지갑
55,물고기자리,호안석
56,양자리,흑요석
56,황소자리,초록 우산
56,쌍둥이자리,파란 볼펜
56,게자리,수정 팔찌
56,사자자리,나비 모양 핀
56,처녀자리,달 모양 귀걸이
56,천칭자리,나무 빗
56,전갈자리,흑요석
56,사수자리,달 모양 귀걸이
56,염소자리,달 모양 귀걸이
56,물병자리,노란 메모지
56,물고기자리,나무 연필
57,양자리,민트사탕
57,황소자리,초록 우산
57,쌍둥이자리,청금석
57,게자리,흰색 손수건
57,사자자리,은색 동전
57,처녀자리,나침반
57,천칭자리,나무 연필
57,전갈자리,은색 동전
57,사수자리,나침반
57,염소자리,호안석
57,물병자리,줄무늬 양말
57,물고기자리,나비 모양 핀
58,양자리,빨간 실
58,황소자리,금색 열쇠고리
58,쌍둥이자리,실크 스카프
58,게자리,은반지
58,사자자리,은색 동전
58,처녀자리,작은 거울
58,천칭자리,나비 모양 핀
58,전갈자리,노란 메모지
58,사수자리,자수정
58,염소자리,은색 동전
58,물병자리,조개껍데기
58,물고기자리,가죽 지갑
59,양자리,노란 메모지
59,황소자리,별자리 카드
59,쌍둥이자리,네잎클로버
59,게자리,작은 수첩
59,사자자리,줄무늬 양말
59,처녀자리,천연 비누
59,천칭자리,초록 식물
59,전갈자리,로즈쿼츠
59,사수자리,노란 메모지
59,염소자리,자수정
59,물병자리,흑요석
59,물고기자리,작은 수첩
60,양자리,흑요석
60,황소자리,자수정
60,쌍둥이자리,빨간 실
60,게자리,유리구슬
60,사자자리,달 모양 귀걸이
60,처녀자리,조개껍데기
60,천칭자리,흰 조약돌
60,전갈자리,빨간 실
60,사수자리,청금석
60,염소자리,가죽 지갑
60,물병자리,민트사탕
60,물고기자리,노란 메모지
61,양자리,작은 거울
61,황소자리,흑요석
61,쌍둥이자리,나무 빗
61,게자리,은색 동전
61,사자자리,은반지
61,처녀자리,초록 식물
61,천칭자리,나무 빗
61,전갈자리,실크 스카프
61,사수자리,대나무 칫솔
61,염소자리,가죽 지갑
61,물병자리,초록 우산
61,물고기자리,민트사탕
62,양자리,로즈쿼츠
62,황소자리,가죽 지갑
62,쌍둥이자리,자수정
62,게자리,로즈쿼츠
62,사자자리,수정 팔찌
62,처녀자리,청금석
62,천칭자리,나무 빗
62,전갈자리,흰 조약돌
62,사수자리,파란 돌
62,염소자리,로즈쿼츠
62,물병자리,별 모양 스티커
62,물고기자리,작은 수첩
63,양자리,네잎클로버
63,황소자리,작은 지도
63,쌍둥이자리,청금석
63,게자리,대나무 칫솔
63,사자자리,유리구슬
63,처녀자리,작은 거울
63,천칭자리,작은 지도
63,전갈자리,조개껍데기
63,사수자리,파란 볼펜
63,염소자리,유리구슬
63,물병자리,별 모양 스티커
63,물고기자리,나무 연필
64,양자리,수정 팔찌
64,황소자리,향초
64,쌍둥이자리,은반지
64,게자리,파란 돌
64,사자자리,은색 동전
64,처녀자리,유리구슬
64,천칭자리,민트사탕
64,전갈자리,초록 우산
64,사수자리,초록 우산
64,염소자리,청금석
64,물병자리,나비 모양 핀
64,물고기자리,빨간 실
65,양자리,작은 수첩
65,황소자리,은반지
65,쌍둥이자리,가죽 지갑
65,게자리,초록 식물
65,사자자리,별 모양 스티커
65,처녀자리,금색 열쇠고리
65,천칭자리,청금석
65,전갈자리,작은 지도
65,사수자리,수정 팔찌
65,염소자리,파란 돌
65,물병자리,초록 식물
65,물고기자리,흰 조약돌
66,양자리,파란 돌
66,황소자리,호안석
66,쌍둥이자리,작은 거북이 인형
66,게자리,네잎클로버
66,사자자리,파란 돌
66,처녀자리,책갈피
66,천칭자리,작은 거울
66,전갈자리,향초
66,사수자리,초록 우산
66,염소자리,초록 식물
66,물병자리,흑요석
66,물고기자리,수정 팔찌
67,양자리,달 모양 귀걸이
67,황소자리,자수정
67,쌍둥이자리,로즈쿼츠
67,게자리,조개껍데기
67,사자자리,대나무 칫솔
67,처녀자리,자수정
67,천칭자리,네잎클로버
67,전갈자리,금색 열쇠고리
67,사수자리,가죽 지갑
67,염소자리,파란 돌
67,물병자리,작은 수첩
67,물고기자리,빨간 실
68,양자리,조개껍데기
68,황소자리,자수정
68,쌍둥이자리,향초
68,게자리,대나무 칫솔
68,사자자리,네잎클로버
68,처녀자리,파란 돌
68,천칭자리,로즈쿼츠
68,전갈자리,천연 비누
68,사수자리,노란 메모지
68,염소자리,금색 열쇠고리
68,물병자리,라벤더 향주머니
68,물고기자리,파란 볼펜
69,양자리,향초
69,황소자리,은색 동전
69,쌍둥이자리,가죽 지갑
69,게자리,금색 열쇠고리
69,사자자리,파란 볼펜
69,처녀자리,네잎클로버
69,천칭자리,작은 지도
69,전갈자리,별 모양 스티커
69,사수자리,작은 지도
69,염소자리,별 모양 스티커
69,물병자리,은반지
69,물고기자리,조개껍데기
70,양자리,작은 거울
70,황소자리,노란 메모지
70,쌍둥이자리,작은 거북이 인형
70,게자리,로즈쿼츠
70,사자자리,대나무 칫솔
70,처녀자리,천연 비누
70,천칭자리,빨간 실
70,전갈자리,은색 동전
70,사수자리,파란 돌
70,염소자리,네잎클로버
70,물병자리,빨간 실
70,물고기자리,달 모양 귀걸이
71,양자리,가죽 지갑
71,황소자리,향초
71,쌍둥이자리,흰색 손수건
71,게자리,별 모양 스티커
71,사자자리,대나무 칫솔
71,처녀자리,로즈쿼츠
71,천칭자리,유리구슬
71,전갈자리,은반지
71,사수자리,책갈피
71,염소자리,나침반
71,물병자리,유리구슬
71,물고기자리,나침반
72,양자리,나무 빗
72,황소자리,유리구슬
72,쌍둥이자리,달 모양 귀걸이
72,게자리,청금석
72,사자자리,은색 동전
72,처녀자리,작은 수첩
72,천칭자리,호안석
72,전갈자리,은반지
72,사수자리,별자리 카드
72,염소자리,청금석
72,물병자리,나무 빗
72,물고기자리,책갈피
73,양자리,빨간 실
73,황소자리,민트사탕
73,쌍둥이자리,청금석
73,게자리,초록 우산
73,사자자리,작은 수첩
73,처녀자리,작은 거북이 인형
73,천칭자리,실크 스카프
73,전갈자리,금색 열쇠고리
73,사수자리,나무 연필
73,염소자리,청금석
73,물병자리,빨간 실
73,물고기자리,청금석
74,양자리,별 모양 스티커
74,황소자리,나무 연필
74,쌍둥이자리,흰 조약돌
74,게자리,작은 지도
74,사자자리,나침반
74,처녀자리,파란 볼펜
74,천칭자리,대나무 칫솔
74,전갈자리,나무 연필
74,사수자리,노란 메모지
74,염소자리,별자리 카드
74,물병자리,유리구슬
74,물고기자리,천연 비누
75,양자리,줄무늬 양말
75,황소자리,줄무늬 양말
75,쌍둥이자리,별자리 카드
75,게자리,흑요석
75,사자자리,초록 식물
75,처녀자리,작은 수첩
75,천칭자리,작은 거울
75,전갈자리,실크 스카프
75,사수자리,조개껍데기
75,염소자리,로즈쿼츠
75,물병자리,별 모양 스티커
75,물고기자리,별자리 카드
76,양자리,흰 조약돌
76,황소자리,달 모양 귀걸이
76,쌍둥이자리,민트사탕
76,게자리,나침반
76,사자자리,가죽 지갑
76,처녀자리,흑요석
76,천칭자리,민트사탕
76,전갈자리,조개껍데기
76,사수자리,파란 볼펜
76,염소자리,나비 모양 핀
76,물병자리,천연 비누
76,물고기자리,초록 우산
77,양자리,네잎클로버
77,황소자리,은색 동전
77,쌍둥이자리,나무 연필
77,게자리,초록 식물
77,사자자리,실크 스카프
77,처녀자리,파란 돌
77,천칭자리,나비 모양 핀
77,전갈자리,초록 식물
77,사수자리,초록 식물
77,염소자리,작은 거북이 인형
77,물병자리,조개껍데기
77,물고기자리,나무 빗
78,양자리,실크 스카프
78,황소자리,나무 연필
78,쌍둥이자리,흰 조약돌
78,게자리,별자리 카드
78,사자자리,작은 수첩
78,처녀자리,별자리 카드
78,천칭자리,금색 열쇠고리
78,전갈자리,나침반
78,사수자리,금색 열쇠고리
78,염소자리,나비 모양 핀
78,물병자리,달 모양 귀걸이
78,물고기자리,작은 거울
79,양자리,작은 거북이 인형
79,황소자리,금색 열쇠고리
79,쌍둥이자리,별자리 카드
79,게자리,별 모양 스티커
79,사자자리,흰색 손수건
79,처녀자리,가죽 지갑
79,천칭자리,실크 스카프
79,전갈자리,빨간 실
79,사수자리,별자리 카드
79,염소자리,실크 스카프
79,물병자리,유리구슬
79,물고기자리,은반지
80,양자리,노란 메모지
80,황소자리,민트사탕
80,쌍둥이자리,은반지
80,게자리,파란 돌
80,사자자리,책갈피
80,처녀자리,파란 볼펜
80,천칭자리,가죽 지갑
80,전갈자리,나무 연필
80,사수자리,작은 지도
80,염소자리,가죽 지갑
80,물병자리,노란 메모지
80,물고기자리,초록 우산
81,양자리,흑요석
81,황소자리,작은 거울
81,쌍둥이자리,달 모양 귀걸이
81,게자리,민트사탕
81,사자자리,노란 메모지
81,처녀자리,조개껍데기
81,천칭자리,나무 빗
81,전갈자리,민트사탕
81,사수자리,작은 거북이 인형
81,염소자리,실크 스카프
81,물병자리,별 모양 스티커
81,물고기자리,초록 식물
82,양자리,나비 모양 핀
82,황소자리,은색 동전
82,쌍둥이자리,대나무 칫솔
82,게자리,흰색 손수건
82,사자자리,별자리 카드
82,처녀자리,자수정
82,천칭자리,작은 거북이 인형
82,전갈자리,작은 지도
